"ああ";"aa";"ah!; Oh!; sayang!, ya; Memang; itu benar, aah; ya; argh, hei!; kamu!, eh ya; ya ya; Kanan; kena kau ; seperti itu; Jadi ; caw (burung gagak, dll.) ; partikel akhir interogatif atau seruan ; pergi dari ; menyelidiki ; menangis, ah, sayang sekali"
"相変わらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"愛想";"aiso ; aisou";"keramahan, kesukaan (pada seseorang); kasih sayang; menyukai, pujian; kesopanan; sapa; sanjungan, keramahan; perlakuan khusus; hiburan, tagihan (di restoran); memeriksa"
"愛憎";"aizou";"cinta dan Benci"
"相対";"aitai ; soutai";"hanya melibatkan pihak-pihak yang berkepentingan; tete-a-tete ; relativitas, relatif, yang dihadapi (misalnya masalah); menghadapi"
"間柄";"aidagara";"hubungan; istilah (baik, ramah, dll)"
"合間";"aima";"selang; merusak; berhenti sebentar; waktu luang"
"あいまい";"aimai";"tidak jelas; ambigu, teduh; jelek, tidak jelas ; menari bersama secara serempak (di noh, kyogen, dll.)"
"敢えて";"aete";"dengan sengaja (tentang sesuatu yang tidak perlu, tidak terduga atau tampaknya kontraproduktif, dll.); dengan berani (melakukan sesuatu); dengan sengaja; sengaja, belum tentu; tidak terlalu; tidak terutama, tentu saja tidak"
"仰ぐ";"aogu";"untuk melihat ke atas (pada), untuk melihat ke atas; untuk menghormati, meminta (misalnya bimbingan); mencari; untuk berpaling kepada (seseorang) untuk, diandalkan; mengandalkan, untuk menelan; untuk bersuara; untuk minum"
"あか";"aka";"merah; merah tua, warna yang mengandung merah (misalnya coklat, merah muda, oranye), Merah (yaitu komunis), lampu merah (lalu lintas), tinta merah (misalnya di bidang keuangan atau pembacaan bukti); (dalam) warna merah, selesai; total; sempurna; jelas, tembaga, kartu 5 poin merah ; kotoran ; tembaga (Cu), perunggu (medali) ; air lambung kapal ; persembahan air kepada Buddha; air suci ; subfamili ; tiba-tiba, mencerahkan, menerangi"
"亜科";"aka";"subfamili"
"赤字";"akaji";"(berada di) merah; defisit, huruf merah; tulisan berwarna merah, koreksi (oleh guru atau korektor) ditulis dengan warna merah"
