"亜";"a";"sub-, -ous (menunjukkan bilangan oksidasi rendah); -ite, Asia, Argentina, Arabia, Amerika; orang Amerika"
"遇";"a.u ; guu";"bertemu"
"遭";"a.u ; a.waseru ; sou";"bertemu"
"敢";"a.ete ; a.enai ; a.ezu ; kan";"untuk berani, berani"
"昂";"a.garu ; taka.i ; taka.buru ; kou ; gou";"bangkit, angkat; bangga, berani; jujur"
"飽";"a.kiru ; a.kasu ; a.ku ; hou";"makan dengan sepenuh hati; makan sepuasnya"
"揚";"a.geru ; -a.ge ; a.garu ; you";"menyebar; memuji"
"充";"a.teru ; mi.tasu ; juu";"isi, penuh, suplai"
"哀";"ai";"disayangkan; duka; penderitaan"
"藍";"ai";"knotweed pewarna (Persicaria tinctoria, digunakan untuk memproduksi pewarna nila), indigo (pewarna), indigo (pewarna)"
"鮎";"ai ; ayu";"ikan manis (Plecoglossus altivelis altivelis); ayu, salmon"
"蒼";"ao";"biru, hijau, lampu hijau (lalu lintas), hitam (warna bulu kuda), biru kartu 5 poin, belum matang; mentah; muda"
"碧";"ao";"biru, hijau, lampu hijau (lalu lintas), hitam (warna bulu kuda), biru kartu 5 poin, belum matang; mentah; muda"
"仰";"ao.gu ; oo.se ; o.ssharu ; ossha.ru ; gyou ; kou";"angkat kepala untuk melihat; memandang, mengandalkan, mengagumi"
"葵";"aoi";"mallow (tanaman apa pun dari famili Malvaceae), Asarum caulescens (spesies jahe liar), hollyhock"
"梧";"aogiri ; go";"Pohon payung Cina, Sterculia platanifolia"
"緋";"aka ; ake ; hi";"merah; merah tua, warna yang mengandung merah (misalnya coklat, merah muda, oranye), Merah (yaitu komunis), lampu merah (lalu lintas), tinta merah (misalnya di bidang keuangan atau pembacaan bukti); (dalam) warna merah, selesai; total; sempurna; jelas, tembaga, kartu 5 poin merah ; kirmizi; merah"
"暁";"akatsuki ; akatoki";"fajar, acara (misalnya, "dalam hal..."); kesempatan; kejadian"
"茜";"akane";"madder (khususnya Madder Jepang, Rubia argyi), madder (warna merah)"
"崇";"aga.meru ; suu";"menghargai, menghormati, memuja, memuliakan"
"騰";"aga.ru ; nobo.ru ; tou";"terbang; mencongklang; berlari; berjingkrak; bangkit"
"購";"aganau ; kou";"beli; mempekerjakan"
"旦";"aki.raka ; akira ; tadashi ; asa ; ashita ; tan ; dan";"fajar; Pagi; hari"
"爽";"aki.raka ; sawa.yaka ; tagau ; sou";"bahagia, ceria; menyegarkan"
"叡";"aki.raka ; ei";"cerdik, mendalam, cerdas"
"晶";"akiraka ; shou";"kristal; jelas, cerah; berseri"
"瞭";"akiraka ; ryou";"cerah, jernih; berpandangan jernih"
"亮";"akiraka ; ryou";"cerah, cemerlang, bercahaya, ringan"
"晃";"akiraka ; kou";"cerah, mempesona; bergoyang, gemetar"
"晟";"akiraka ; sei ; jou";"jelas, cerah; kemegahan, kecerahan"
"郁";"akiraka ; iku";"berbau manis, kaya aroma; (Tidak bisa.) untuk bergerak, pukul"
